EmployeeID,firstname,lastname,startdate,exitdate,DaysInService,EmployeeCategory
1001,Susan,Exantus,2019-08-29,,NULL,LongTerm
1002,Sandra,Martin,2022-12-12,2023-05-28,167,ShortTerm
1003,Keyla,"Del Bosque",2023-03-08,2023-03-15,7,ShortTerm
1004,Andrew,Szabo,2020-05-29,2021-03-05,280,ShortTerm
1005,Luke,Patronick,2022-09-16,,NULL,LongTerm
1006,Colby,Andreola,2021-08-15,2021-11-20,97,ShortTerm
1007,Edward,TRUE,2020-10-25,2021-09-26,336,ShortTerm
1008,Judith,Carabbio,2019-08-28,2020-05-04,250,ShortTerm
1009,Adell,Saada,2019-06-13,2023-01-12,1309,LongTerm
1010,Kamari,Hunter,2021-01-12,2022-03-18,430,MidTerm
1011,Sarah,Malone,2022-02-07,2023-02-12,370,MidTerm
1012,Skyler,Blackwell,2020-11-09,2021-06-06,209,ShortTerm
1013,Jasmin,Shah,2020-05-13,,NULL,LongTerm
1014,Kole,Quinn,2022-12-31,2023-07-13,194,ShortTerm
1015,Ansley,Jackson,2018-12-03,,NULL,LongTerm
1016,Jayda,Reese,2020-02-21,2021-05-29,463,MidTerm
1017,Julien,Whitehead,2020-09-07,2021-12-15,464,MidTerm
1018,Alan,Haynes,2020-06-19,2021-12-08,537,MidTerm
1019,Kamryn,Herrera,2022-10-14,2023-07-28,287,ShortTerm
1020,Kelvin,Foster,2023-06-20,2023-07-18,28,ShortTerm
1021,Joe,Fletcher,2020-11-09,2023-07-17,980,MidTerm
1022,Frederick,Howe,2022-09-19,,NULL,LongTerm
1023,Nickolas,Davila,2018-11-09,2021-10-10,1066,MidTerm
1024,Kasey,Boyer,2018-12-30,2021-06-23,906,MidTerm
1025,Giovanni,Jenkins,2023-05-11,2023-05-15,4,ShortTerm
1026,Alexis,Moss,2022-11-03,2023-02-09,98,ShortTerm
1027,Joanna,Murphy,2020-06-14,2021-05-29,349,ShortTerm
1028,Joseph,Schmidt,2019-10-15,2023-01-01,1174,LongTerm
1029,Brittany,Hurley,2020-04-28,,NULL,LongTerm
1030,Niko,Hamilton,2019-10-29,,NULL,LongTerm
1031,Ruben,Martinez,2021-04-28,,NULL,LongTerm
1032,Kiley,Haynes,2022-04-19,2022-08-26,129,ShortTerm
1033,Blaine,Brooks,2023-03-28,,NULL,LongTerm
1034,Dennis,Livingston,2019-05-06,,NULL,LongTerm
1035,Case,Russell,2020-10-13,,NULL,LongTerm
1036,Kody,Jimenez,2021-07-06,2021-11-25,142,ShortTerm
1037,Zoe,Colon,2020-09-24,2020-11-02,39,ShortTerm
1038,Courtney,Cowan,2023-01-18,,NULL,LongTerm
1039,Nolan,Perez,2019-08-22,2022-03-25,946,MidTerm
1040,Katrina,Farrell,2019-07-25,2022-12-17,1241,LongTerm
1041,Camden,Kelly,2019-11-11,2020-01-10,60,ShortTerm
1042,Milo,Hood,2022-07-16,,NULL,LongTerm
1043,Kale,Lang,2022-12-19,2023-05-10,142,ShortTerm
1044,Shyanne,Stark,2020-09-15,,NULL,LongTerm
1045,Elliott,Ashley,2020-10-04,2023-02-27,876,MidTerm
1046,Genesis,Todd,2022-04-23,2022-08-03,102,ShortTerm
1047,Sincere,Jimenez,2021-11-27,,NULL,LongTerm
1048,Stephen,Daugherty,2019-11-29,,NULL,LongTerm
1049,Demarion,Morrow,2019-05-30,2020-12-19,569,MidTerm
1050,Steven,Schneider,2020-11-23,,NULL,LongTerm
1051,Devon,Hinton,2022-04-08,2023-01-11,278,ShortTerm
1052,Jacquelyn,Johns,2021-02-25,2021-06-04,99,ShortTerm
1053,Blaine,Keith,2019-03-13,2021-04-07,756,MidTerm
1054,Phillip,Salazar,2023-02-12,,NULL,LongTerm
1055,Chaz,Webb,2018-09-08,,NULL,LongTerm
1056,Desmond,Anderson,2021-11-18,,NULL,LongTerm
1057,Sophie,Decker,2023-07-01,,NULL,LongTerm
1058,Lena,Bryan,2022-04-18,,NULL,LongTerm
1059,Kelsie,Mccormick,2023-04-29,,NULL,LongTerm
1060,Frida,Livingston,2018-10-10,2018-12-25,76,ShortTerm
1061,Isai,Alvarado,2022-11-20,,NULL,LongTerm
1062,Travis,Vasquez,2019-05-18,2020-01-14,241,ShortTerm
1063,Jazlene,Maynard,2021-06-22,,NULL,LongTerm
1064,Wyatt,Donovan,2022-03-30,2022-04-13,14,ShortTerm
1065,Nathaly,Cooper,2018-08-28,,NULL,LongTerm
1066,Gage,Weeks,2021-12-27,2023-01-05,374,MidTerm
1067,Gavin,Frye,2020-11-14,,NULL,LongTerm
1068,Amber,Ross,2021-10-01,,NULL,LongTerm
1069,Wyatt,Edwards,2018-10-13,2023-05-28,1688,LongTerm
1070,Karla,Reed,2018-12-15,2022-05-28,1260,LongTerm
1071,Yadira,Mcmillan,2019-03-28,2020-10-17,569,MidTerm
1072,Fernando,Mcconnell,2018-12-27,,NULL,LongTerm
1073,Sean,Bean,2019-05-11,,NULL,LongTerm
1074,Lilianna,Mccall,2021-02-19,2023-02-24,735,MidTerm
1075,Salvador,Thomas,2022-11-05,2023-04-16,162,ShortTerm
1076,Jair,Silva,2020-03-22,2020-09-28,190,ShortTerm
1077,Derek,Moreno,2019-02-02,,NULL,LongTerm
1078,Litzy,Conner,2020-02-24,2021-06-16,478,MidTerm
1079,Joanna,Burnett,2021-04-07,2022-05-01,389,MidTerm
1080,Abdullah,Frederick,2020-11-14,,NULL,LongTerm
1081,Armani,Porter,2022-01-17,2022-08-10,205,ShortTerm
1082,Taylor,Sanders,2021-09-02,2023-06-27,663,MidTerm
1083,Iliana,Randall,2023-07-30,,NULL,LongTerm
1084,Luke,Henderson,2023-06-27,,NULL,LongTerm
1085,Madelyn,Lambert,2022-03-27,,NULL,LongTerm
1086,Ava,Pace,2022-08-12,2022-10-20,69,ShortTerm
1087,Delaney,Bruce,2022-07-08,2023-08-04,392,MidTerm
1088,Jair,Bullock,2020-08-15,2021-01-23,161,ShortTerm
1089,Kayla,Farrell,2023-05-27,2023-06-14,18,ShortTerm
1090,Taylor,Gamble,2023-01-02,,NULL,LongTerm
1091,Carl,Desimone,2018-11-16,2021-04-03,869,MidTerm
1092,Sophia,Theamstern,2022-07-12,,NULL,LongTerm
1093,Kara,Harrison,2022-12-16,,NULL,LongTerm
1094,Ming,Huynh,2023-05-08,,NULL,LongTerm
1095,Karen,Mancuso,2023-04-07,,NULL,LongTerm
1096,Linda,Anderson,2022-02-15,2022-10-19,246,ShortTerm
1097,Nilson,Fernandes,2023-07-17,2023-08-03,17,ShortTerm
1098,Alain,Robinson,2019-05-03,2023-06-02,1491,LongTerm
1099,Seffi,Shields,2022-03-25,2022-04-22,28,ShortTerm
1100,Horia,Ndzi,2020-04-07,,NULL,LongTerm
1101,Evelyn,Girifalco,2021-03-10,,NULL,LongTerm
1102,Ermine,Pelletier,2019-08-04,,NULL,LongTerm
1103,Samuel,MacLennan,2021-04-11,2023-05-27,776,MidTerm
1104,Sean,Bernstein,2019-06-16,,NULL,LongTerm
1105,Shakira,Perry,2020-10-08,2022-12-04,787,MidTerm
1106,"Michael J",Fitzpatrick,2021-08-18,,NULL,LongTerm
1107,Cybil,Trzeciak,2020-03-16,,NULL,LongTerm
1108,Barry,Wilber,2019-01-24,,NULL,LongTerm
1109,Enola,Chivukula,2022-06-11,2022-09-25,106,ShortTerm
1110,Joelle,Burke,2022-07-02,,NULL,LongTerm
1111,Alexandra,Kirill,2019-09-08,2020-08-29,356,ShortTerm
1112,Celeste,Johnson,2022-07-10,,NULL,LongTerm
1113,Nathalia,Hendrix,2022-04-24,,NULL,LongTerm
1114,Justus,Bowen,2020-03-31,,NULL,LongTerm
1115,Marcus,Bender,2019-03-23,,NULL,LongTerm
